source_platform,app_id,country,review_id,review_title,review_text,rating,review_date,user_name,collected_at
Apple App Store,570060128,us,14073433344,I LOVE IT!!!,I love this app. Im only around 10 to 13 and it’s so good. The only thang I would change is the streak. I was not here fore a week and i left my iPad at home and lost my streak. But other than that i love this. Highly recommended. Thank you.いさわゆを,5,2026-05-16 21:22:22-07:00,Iuugghhcdhn,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073384329,Best language game in the world,"Learning music, chess, and also different language right now I’m learning. It’s really fun and also super Duolingo. You should definitely get it.",5,2026-05-16 21:00:14-07:00,Language game    #1,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073370382,Perfect,"Excelente app, Miya buena para aprender nuevas palabras y hacerlas un hábito",4,2026-05-16 20:54:07-07:00,El chancalas,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073353189,Wow,"This app is so awesome and I have learned music, math, chess, French, English, and Italian in just a few weeks and I love how it will give you motivation when you get the question wrong. Great job, Duolingo!",5,2026-05-16 20:46:34-07:00,IoDvfny,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073310603,The Only Way To Learn a Language,"Genuinely, Duolingo is the only way to spend time on your phone productively. As an equally brain rotted individual, Duolingo is the only time I have spent on my phone in the last three months that has any productivity, give them your money.",5,2026-05-16 20:28:12-07:00,Gābë,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073307166,sier streak plush,duolingo since you have the duo you should add the fire streak plush,5,2026-05-16 20:26:45-07:00,butti230,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073298970,4 star,I love it the only problem is the recharge battery things because sometimes times I want to learn more but it stops me and it’s soooooooo expensive at the shop,4,2026-05-16 20:23:20-07:00,Sjrbdyebh,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073224380,Stick to the lessons,"I could do without all the game portions. 
It doesn’t repeat the hard portion and keeps repeating the easier words.",3,2026-05-16 19:52:19-07:00,Dr.Hopie,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073214337,Duolingo is boring,It takes to long to many questions it forces you to do a lesson and if you don’t you get a million text on saying do your lesson it blocks my other apps do not download,1,2026-05-16 19:48:08-07:00,Duo sucks15,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073175703,Used to be good,"I used to like this app. I started using again after a year and I realized they got rid of this heart thing and now there is a battery. I did two lessons and I was out of energy already. Whoever thought of this should be fired, because this did not prompt me to buy Super Duolingo, but delete the app. I never thought it was useful language learning anyways. It is more like a game.",2,2026-05-16 19:32:26-07:00,Emenike,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073173368,5 stars!!,So amazing. Can finally connect to my culture . Really fun and makes learning easy to remember words.,5,2026-05-16 19:31:29-07:00,P.er.s.o.n,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073152015,Ya,Ya,5,2026-05-16 19:22:51-07:00,drishtiac,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073134888,Pretty Decent,Not bad for a slightly annoying free language app …,4,2026-05-16 19:16:04-07:00,Vivi H-berg,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073112174,Great try new language,I love Duolingo because I want to learn more Arabic and it is,5,2026-05-16 19:07:04-07:00,Chanel sako,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073092480,Ad,"Good, just needs a single less ad",4,2026-05-16 18:59:10-07:00,Leafeba,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073068617,Hi,"For the most part, it’s great. There’s a little too much translating work.",3,2026-05-16 18:49:37-07:00,Awdghddggrd,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073046906,Oscar cheated,"He moved my king when I clearly moved a rook, I could’ve won a match. Is this a glitch?",3,2026-05-16 18:41:00-07:00,Caelum the CooL Kid,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073035462,Kevin,It teaches me so much lesson and now I’m getting better at the language and learning,5,2026-05-16 18:36:27-07:00,bestatdolingo,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073017738,Too much money and great lessons,"First when I wanted to buy super Duolingo, it was 100 and Sixty dollars ding. I swear to God. If you don’t bring it back down. I’m gonna do a company, but I also like the lessons they break it down steps and I can say Kona azúcar con hielo. Please bring it Please Please Please Please Please I’m begging you or por favor Please please. I’m begging you. If you don’t bring it down. Now. I’m gonna be super super mad.",5,2026-05-16 18:29:18-07:00,Sandra Fiorella,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073013533,Love it,Learning chess is SUPER fun love it but I do it every day witch is kinda making me crazy not gonna lie but I love it's still thank you,5,2026-05-16 18:27:34-07:00,Make rank easy,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073005216,I LOVE IT,This app was a big help to learning and fun to do!!,5,2026-05-16 18:24:16-07:00,May Lee Elijah,2026-05-20T03:14:33.977405+00:00
Apple App Store,570060128,us,14073001118,I love this,"This app helps me communicate to family members from around the world
This helps a lot",5,2026-05-16 18:22:39-07:00,Duolingo thanks!,2026-05-20T03:14:33.977405+00:00
